profile-config,,
last-modified,name,profile-id,vendor,protocol,available-version,products-supported,plugin-class,versions-supported,device-type
2019-03-07 16:28:35,fujitsu-flashwave-4100,fujitsu-flashwave-4100,Fujitsu,TL1,7.0.11,flashwave-4100,C,.*,MSPP
2019-03-07 16:28:35,cisco-7200,cisco-7200,"Cisco Systems, Inc",SNMP,7.0.11,"cisco-7201,cisco7204VXR,cisco7206VXR",C,*,ROUTER
2019-03-07 16:28:35,cisco-4924,cisco-4924,"Cisco networks,Inc",SNMP,7.0.3,ME4924-10GE,,*,SWITCH
2019-03-07 16:28:35,cisco-2950,cisco-2950,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 2950 Switch,,*,SWITCH
2019-03-07 16:28:35,cisco-2821,cisco-2821,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 2821 Integrated Service Router,,*,ROUTER
2019-03-07 16:28:35,alcatel-1830-pss-snmp,alcatel-1830-pss-snmp,Alcatel-Lucent,SNMP,7.0.23,1830 PSS,B,,DWDM
2019-03-07 16:28:35,actelis-ml1300,actelis-ml1300,Actelis Networks,TL1,7.0.5,ML1300,,.*,MSPP
2019-03-07 16:28:34,tellabs-7100,tellabs-7100,Tellabs,TL1,7.0.2,Nano 7100,,.*,OSTP
2019-03-07 16:28:34,telco-3308,telco-3308,Telco Systems,SNMP,7.0.6,"T-Marc 3308, 3308H",,*,DEMARCATION_DEVICE
2019-03-07 16:28:34,symmetricom-ssu-2000-snmp,symmetricom-ssu-2000-snmp,SYMMETRICOM,SNMP,7.0.2,SSU2000,,.*,UNKNOWN
2019-03-07 16:28:34,sonus-sbc-5110,sonus-sbc-5110,Sonus,SNMP,7.0.5,SBC,C,5110,SBC
2019-03-07 16:28:34,oracle-db,oracle-db,Oracle,SNMP,7.0.3,oracle-db,,*,UNKNOWN
2019-03-07 16:28:34,nortel-dms-10,nortel-dms-10,Nortel,ASCII,7.0.2,"cs-1500,dms,dms-10",,"2.2,1.2",SWITCH
2019-03-07 16:28:34,force10-s50v,force10-s50v,FORCE10,SNMP,7.0.2,force10-s50v,,S50V,SWITCH
2019-03-07 16:28:34,extreme-summit-x250,extreme-summit-x250,"Extreme Networks, Inc.",SNMP,7.0.2,Summit x250,,*,SWITCH
2019-03-07 16:28:34,dps-netguardian-g4-g5,dps-netguardian-g4-g5,DPS Telecom,SNMP,7.0.2,"Netguardian 420, Netguardian 480, Netguardian 832a, Netguardian 216f, Netguardian 864, Netguardian G5, Netguardian 420, Netguardian TNT G5, Netmediator T2S G5",C1,v4.2U,UNKNOWN
2019-03-07 16:28:34,docs3.0-thomson-modem-tcw850-4,docs3.0-thomson-modem-tcw850-4,Thomson,SNMP,7.0.2,Thomson TCW850-4,,,CABLE_MODEM
2019-03-07 16:28:34,docs3.0-cisco-modem-epc2325,docs3.0-cisco-modem-epc2325,Cisco,SNMP,7.0.2,Cisco EPC2325,,,CABLE_MODEM
2019-03-07 16:28:34,cisco-acs-1121,cisco-acs-1121,"Cisco Systems, Inc",SNMP,7.0.15,cisco-acs-1121,D,*,UNKNOWN
2019-03-07 16:28:34,cisco-800,cisco-800,"Cisco Systems, Inc",SNMP,7.0.7,"cisco 801,802,803,804,805",D,*,ROUTER
2019-03-07 16:28:34,calix-c7,calix-c7,Calix,TL1,7.0.10,C7,,.*,OSTP
2019-03-07 16:28:34,arris-me-7000,arris-me-7000,Arris,SNMP,7.0.2,ME-7000,,*,VIDEO_PLATFORM
2019-03-07 16:28:34,alpha-ups,alpha-ups,Alpha Technologies,SNMP,7.0.35,"ALPHA/XM2 MODEL DSM3,ALPHA/XM2-300 MODELS-(DPM,DSM3,DM3),ALPHA/XM3-915-HP MODELS-(DSM3,DMX3,DSMX3),ALPHA MODEL DSM3,ALPHA XM 1601,ALPHA XMS2 PS(EDSM)-(1600,1651)",,DSM33X-5.7.1mp1_02.12_02.11-NA,UPS
2019-03-07 16:28:34,alcatel-1675,alcatel-1675,Alcatel-Lucent,TL1,7.0.5,1675 Switch,,.*,SWITCH
2019-03-07 16:28:34,adtran-mx4,adtran-mx4,Adtran,SNMP,7.0.2,"MX408e, MX410, MX412",C1,*
2019-03-07 16:28:33,tems-nms,tems-nms,Tyco Electronics,SNMP,7.0.2,Tems-nms,,*,AGENT
2019-03-07 16:28:33,sonus-psx,sonus-psx,"Sonus Networks, Inc.",SNMP,7.0.2,SONUS-PSX,,*,UNKNOWN
2019-03-07 16:28:33,occam-on2364,occam-on2364,Occam Networks,SNMP,7.0.2,ON2364,,*,UNKNOWN
2019-03-07 16:28:33,nortel-sdms-oc3,nortel-sdms-oc3,Nortel,TL1,7.0.2,SDMS-OC3,,.*,MSPP
2019-03-07 16:28:33,nortel-ome-6110,nortel-ome-6110,NORTEL,TL1,7.0.5,.*Multiservice Edge 6110.*,,.*,MSTP
2019-03-07 16:28:33,lucent-wavestar-2.5g,lucent-wavestar-2.5g,Alcatel-Lucent,TL1,7.0.5,WaveStar 2.5G,,.*,MSPP
2019-03-07 16:28:33,juniper-mx-480,juniper-mx-480,"Juniper Networks, Inc",SNMP,7.0.17,MX480 Ethernet Services Router,B,*,ROUTER
2019-03-07 16:28:33,infoblox-250a,infoblox-250a,"Infoblox, Inc.",SNMP,7.0.2,ib250a,,*,SERVER
2019-03-07 16:28:33,harmonic-promedia-2100,harmonic-promedia-2100,Harmonics,SNMP,7.0.2,Promedia,,*,UNKNOWN
2019-03-07 16:28:33,foundry-rx16,foundry-rx16,Foundry Networks,SNMP,7.0.2,Foundry BigIron RX Series,,*,SWITCH
2019-03-07 16:28:33,fortinet-fortigate,fortinet-fortigate,"FortiNet, Inc",SNMP,7.0.1,Fortinet Fortigate,,*,FIREWALL
2019-03-07 16:28:33,ericsson-evr,ericsson-evr,Ericsson,SNMP,7.0.3,EVR,,*,VIRTUAL_MACHINE
2019-03-07 16:28:33,eci-st50,eci-st50,ECI Telecom,SNMP,7.0.2,ECI-ST50,,*,ROUTER
2019-03-07 16:28:33,cisco-vpn-3000,cisco-vpn-3000,"Cisco Systems, Inc",SNMP,7.0.2,Cisco 3000 VPN Concentrator,,,VPN
2019-03-07 16:28:33,cisco-isr2900,cisco-isr2900,"Cisco Systems, Inc",SNMP,7.0.3,Cisco 2900 Series Integrated Services Router,,*,ROUTER
